VBA Project,GUID,Friendly name
DMC_O365SecComp,0b6fac2d-8627-4b05-9df0-03609db6248b,prepare-search-results-for-advanced-ediscovery
DMC_O365SecComp,dd597871-3b89-4904-9e08-03776d1df4bc,test-for-backlinker
DMC_O365SecComp,e5e6c2f0-0a0b-478e-b5d8-03909d2611a3,get-email-calendar-and-contacts
DMC_O365SecComp,dd78a6f2-d06b-4417-89b8-0391221d1b63,license-restrictions
DMC_O365SecComp,41746230-f148-4754-a149-03914829f987,wikis
DMC_O365SecComp,73cfd7b3-be90-480a-b415-039fa97d9b89,enable-search-alerts
DMC_O365SecComp,fd6be6d3-2e8d-449d-9851-03ab7546e6aa,manage-relevance-setup-in-advanced-ediscovery
DMC_O365SecComp,07824c51-2c45-4005-8596-03c0d7c4ff2a,reduce-spam-email
DMC_O365SecComp,130d7b30-7acb-4d44-b091-03d45f1c283e,install-required-outlook-updates-to-connect-to-your-mail-server
DMC_O365SecComp,73c9028b-005d-49b8-b45e-044794a80b8f,nib-set-up-email-on-windows-mobile-6-5
DMC_O365SecComp,fd16c8d2-4799-4c39-8fd7-045f06640166,best-practices-for-using-office-365-on-a-slow-network
DMC_O365SecComp,a3df119a-b3f2-49b4-be47-0466b4da1808,add-records-at-hostgator-to-set-up-your-sharepoint-online-public-website
DMC_O365SecComp,aaff6f5b-2006-46d1-b995-046eb2992cee,what-do-office-365-hybrids-have-in-common
DMC_O365SecComp,4307bdbf-6097-458d-9a6a-048112695c59,skype-for-business-online
DMC_O365SecComp,6c4b9ed0-e59a-4a9c-b0fd-049c1cf9f2eb,switching-from-google-apps-to-office-365-for-business
DMC_O365SecComp,f8249a19-005f-4ae0-b7c0-04a683691fbf,the-net-pipe-listener-adapter-isn-t-available
DMC_O365SecComp,74e578fb-d42e-4c02-b1f5-04c0aa727126,case-study-mavention-and-web-content-management-in-sharepoint-server-2013
DMC_O365SecComp,5f0402ca-90c6-4528-b1de-04d4f28fb2a6,manage-a-connection-to-a-document-center-or-a-records-center
DMC_O365SecComp,65af7d77-3e79-44d4-9173-04fd991358b7,how-to-migrate-mailboxes-from-one-office-365-tenant-to-another
