Error Type,Topic Guid,Message
Warning,103f940c-0468-4e1a-b527-cc8ad13a5ea6,Found nested table in md file:103f940c-0468-4e1a-b527-cc8ad13a5ea6.md
Warning,103f940c-0468-4e1a-b527-cc8ad13a5ea6,Could not Add new line after images in md file:103f940c-0468-4e1a-b527-cc8ad13a5ea6.md
Warning,1adffc35-38e5-4f7d-8495-8e0e8721f377,Found a an ul list inside a table in html file:1adffc35-38e5-4f7d-8495-8e0e8721f377.xml
Warning,1adffc35-38e5-4f7d-8495-8e0e8721f377,Found nested table in md file:1adffc35-38e5-4f7d-8495-8e0e8721f377.md
Warning,1adffc35-38e5-4f7d-8495-8e0e8721f377,Fixing missing end table tag in file:1adffc35-38e5-4f7d-8495-8e0e8721f377.md
Warning,1adffc35-38e5-4f7d-8495-8e0e8721f377,Fixing missing end table tag in file:1adffc35-38e5-4f7d-8495-8e0e8721f377.md
Warning,1adffc35-38e5-4f7d-8495-8e0e8721f377,Found invalid tables saving file:1adffc35-38e5-4f7d-8495-8e0e8721f377.md
Warning,1b45c82f-26c8-44fb-9f3b-b45436fe2271,Found nested table in md file:1b45c82f-26c8-44fb-9f3b-b45436fe2271.md
Warning,1b45c82f-26c8-44fb-9f3b-b45436fe2271,Could not Add new line after images in md file:1b45c82f-26c8-44fb-9f3b-b45436fe2271.md
Warning,1fbd74e8-7a60-4157-afe8-fe79f05d2038,Found a an ol list inside a table in html file:1fbd74e8-7a60-4157-afe8-fe79f05d2038.xml
Warning,2062c312-b1e4-4ce7-8cb2-ea39bc0dfdad,Could not Add new line after images in md file:2062c312-b1e4-4ce7-8cb2-ea39bc0dfdad.md
Warning,239ce6eb-4e81-42db-bf86-a01362fed65c,Could not Add new line after images in md file:239ce6eb-4e81-42db-bf86-a01362fed65c.md
Warning,26261670-db33-4c53-b125-af0662c34607,Found herf tag with an image in file:26261670-db33-4c53-b125-af0662c34607.md total found:3
Warning,268a109e-7843-405b-bb3d-b9393b2342ce,Could not Add new line after images in md file:268a109e-7843-405b-bb3d-b9393b2342ce.md
Warning,26af16df-34cd-4f4a-b893-bc1d2e74039e,Could not Add new line after images in md file:26af16df-34cd-4f4a-b893-bc1d2e74039e.md
Warning,28c86a1c-e4dd-4aad-a2a6-c768a21cb352,Found a an ul list inside a table in html file:28c86a1c-e4dd-4aad-a2a6-c768a21cb352.xml
Warning,28c86a1c-e4dd-4aad-a2a6-c768a21cb352,Missing tables headers in file:28c86a1c-e4dd-4aad-a2a6-c768a21cb352.md
Warning,290b02bf-a988-4fb9-88b2-34e408216ac8,Found a an ul list inside a table in html file:290b02bf-a988-4fb9-88b2-34e408216ac8.xml
Warning,296a02bd-ebde-4022-900e-547acf38ddd7,Found nested table in md file:296a02bd-ebde-4022-900e-547acf38ddd7.md
Warning,296a02bd-ebde-4022-900e-547acf38ddd7,Could not Add new line after images in md file:296a02bd-ebde-4022-900e-547acf38ddd7.md
Warning,2cfce2c8-20c5-47f9-afc4-24b059c1bd76,Could not Add new line after images in md file:2cfce2c8-20c5-47f9-afc4-24b059c1bd76.md
Warning,2e5fbe9f-ee4d-4178-8ff8-4356bc1b168e,Missing tables headers in file:2e5fbe9f-ee4d-4178-8ff8-4356bc1b168e.md
Warning,2fe71b05-f5a2-4182-ade7-4dc5cabdfd51,Missing tables headers in file:2fe71b05-f5a2-4182-ade7-4dc5cabdfd51.md
Warning,3526fd06-b45f-445b-aed4-5ebd37b3762a,Missing tables headers in file:3526fd06-b45f-445b-aed4-5ebd37b3762a.md
Warning,3526fd06-b45f-445b-aed4-5ebd37b3762a,Found nested table in md file:3526fd06-b45f-445b-aed4-5ebd37b3762a.md
Warning,3526fd06-b45f-445b-aed4-5ebd37b3762a,Fixing missing end table tag in file:3526fd06-b45f-445b-aed4-5ebd37b3762a.md
Warning,3526fd06-b45f-445b-aed4-5ebd37b3762a,Found invalid tables saving file:3526fd06-b45f-445b-aed4-5ebd37b3762a.md
Warning,35d0ecdb-7cb0-44be-ad5c-69df2f8f8b25,Found nested table in md file:35d0ecdb-7cb0-44be-ad5c-69df2f8f8b25.md
Warning,35d52b41-75ab-4144-9edf-31e11453bd5d,Could not Add new line after images in md file:35d52b41-75ab-4144-9edf-31e11453bd5d.md
Warning,38e9b67f-d188-490f-bc91-a1ae4b270441,Missing tables headers in file:38e9b67f-d188-490f-bc91-a1ae4b270441.md
